pr_number,created_at,hours_to_review
7040,2025-12-11 08:24:14,34.97
7039,2025-12-10 08:36:37,0.01
7038,2025-12-09 04:50:32,0.96
7037,2025-12-08 14:22:41,15.29
7035,2025-12-05 19:11:59,81.07
7034,2025-12-05 18:54:42,82.74
7033,2025-12-05 14:48:16,86.81
7032,2025-12-04 07:32:40,5.17
7031,2025-12-03 16:54:07,0.21
7027,2025-11-26 17:40:49,16.86
7025,2025-11-21 00:13:11,130.87
7024,2025-11-20 16:04:08,312.65
7022,2025-11-19 15:18:20,0.06
7021,2025-11-19 03:04:00,5.43
7019,2025-11-17 19:21:49,13.53
7017,2025-11-13 16:54:14,123.83
7013,2025-11-11 05:35:15,487.9
7012,2025-11-07 16:04:53,231.13
7011,2025-11-07 07:57:09,4.95
7010,2025-11-05 06:36:09,125.62
7009,2025-11-04 07:25:22,55.86
7007,2025-10-30 16:08:15,0.99
7006,2025-10-30 14:50:35,2.3
7005,2025-10-30 11:51:27,428.93
7004,2025-10-30 11:47:45,429.56
7003,2025-10-30 07:33:21,126.8
7002,2025-10-30 07:20:42,482.51
7001,2025-10-29 09:07:17,290.77
7000,2025-10-28 09:15:51,527.11
6999,2025-10-27 17:11:16,350.13
6998,2025-10-24 17:20:34,123.55
6997,2025-10-24 16:49:38,611.58
6996,2025-10-24 15:51:14,612.56
6995,2025-10-23 10:16:54,96.5
6994,2025-10-22 19:17:22,614.58
6993,2025-10-22 12:15:59,24.91
6992,2025-10-20 16:00:02,2.04
6990,2025-10-16 16:41:01,275.15
6988,2025-10-15 19:20:57,10.14
6987,2025-10-10 00:52:08,1325.82
6986,2025-10-09 12:23:23,14.46
6985,2025-10-08 12:56:30,529.73
6984,2025-10-07 07:51:52,4.3
6982,2025-10-03 03:00:58,79.77
6981,2025-10-01 04:53:48,646.98
6980,2025-09-29 22:41:47,1210.16
6979,2025-09-24 06:58:51,290.23
6978,2025-09-23 12:06:06,0.81
6977,2025-09-22 20:44:21,1358.7
6976,2025-09-22 16:29:04,1360.84
6975,2025-09-15 21:21:29,0.16
6972,2025-09-10 19:35:29,0.01
6971,2025-09-10 15:18:39,1.82
6970,2025-09-05 18:13:11,0.24
6969,2025-09-05 04:47:16,9.99
6968,2025-09-05 04:06:11,11.17
6965,2025-09-04 10:08:23,28.67
6963,2025-09-03 15:58:39,0.37
6962,2025-09-03 02:41:01,144.76
6961,2025-09-02 15:14:24,0.32
6960,2025-08-29 20:06:14,617.8
6959,2025-08-29 20:01:13,163.37
6958,2025-08-29 05:37:00,104.68
6957,2025-08-29 05:35:02,104.79
6956,2025-08-29 05:29:10,104.85
6955,2025-08-29 05:27:13,105.83
6954,2025-08-27 15:06:08,3.9
6953,2025-08-26 18:32:03,2025.86
6952,2025-08-25 10:34:28,2038.92
6951,2025-08-25 09:46:39,1.12
6950,2025-08-22 18:02:31,2.22
6949,2025-08-22 05:17:31,2134.89
6948,2025-08-21 19:26:26,137.11
6947,2025-08-20 20:23:39,2490.51
6946,2025-08-20 16:08:17,21.06
6945,2025-08-20 00:03:11,1363.55
6943,2025-08-19 11:53:54,10.74
6942,2025-08-19 08:25:41,342.77
6941,2025-08-18 18:58:25,428.32
6940,2025-08-18 15:38:57,566.35
6939,2025-08-14 17:39:18,2296.27
6938,2025-08-14 07:56:43,0.28
6937,2025-08-13 01:00:21,26.38
6936,2025-08-12 19:27:54,2368.48
6935,2025-08-12 06:58:08,4.49
6934,2025-08-11 19:27:35,203.81
6933,2025-08-11 16:16:51,37.51
6932,2025-08-06 18:10:08,23.78
6931,2025-08-05 13:05:02,305.04
6930,2025-08-01 01:52:43,4.15
6929,2025-07-31 17:41:05,144.05
6928,2025-07-30 09:21:30,1979.39
6926,2025-07-26 07:51:36,60.92
6925,2025-07-26 06:20:10,62.48
6924,2025-07-25 18:38:50,57.91
6923,2025-07-25 18:27:23,58.06
6922,2025-07-25 17:37:57,58.86
6921,2025-07-25 14:34:56,78.24
6919,2025-07-25 04:40:04,71.69
6918,2025-07-24 16:41:57,16.99
6917,2025-07-24 04:10:46,2813.76
6916,2025-07-23 06:01:15,47.86
6913,2025-07-18 15:29:00,3.2
6912,2025-07-18 13:55:36,89.89
6911,2025-07-17 09:34:16,191.09
6910,2025-07-10 16:09:20,84.73
6906,2025-07-03 09:58:38,3334.2
6905,2025-07-03 09:44:03,0.56
6903,2025-06-26 19:14:24,12.04
6902,2025-06-26 07:25:38,0.08
6901,2025-06-24 21:02:09,9.28
6900,2025-06-24 18:24:47,0.05
6899,2025-06-24 14:32:40,16.74
6898,2025-06-24 14:32:28,16.71
6897,2025-06-23 18:53:09,9.87
6896,2025-06-18 15:22:37,1.58
6895,2025-06-18 11:05:04,140.99
6894,2025-06-17 08:23:17,647.16
6893,2025-06-17 05:50:59,0.3
6892,2025-06-17 03:47:12,1.51
6891,2025-06-16 15:20:46,664.23
6890,2025-06-13 20:00:09,731.62
6889,2025-06-13 15:25:02,0.15
6888,2025-06-13 15:18:55,3.31
6887,2025-06-13 14:35:45,0.76
6886,2025-06-13 10:18:49,0.08
6885,2025-06-13 07:54:05,0.67
6884,2025-06-13 07:26:35,0.22
6883,2025-06-12 13:30:32,18.31
6882,2025-06-11 09:15:45,26.54
6881,2025-06-11 06:28:58,0.12
6880,2025-06-11 06:08:36,4.84
6879,2025-06-10 16:41:43,43.13
6878,2025-06-10 13:17:40,330.25
6877,2025-06-10 12:26:21,306.88
6876,2025-06-10 09:45:38,0.27
6875,2025-06-10 09:40:35,0.04
6874,2025-06-10 08:44:14,0.42
6873,2025-06-10 08:26:51,0.12
6872,2025-06-10 06:30:59,0.05
6871,2025-06-09 12:56:45,2.49
6870,2025-06-06 15:57:38,114.97
6869,2025-06-05 12:30:49,0.11
6868,2025-06-05 09:54:37,782.28
6867,2025-06-05 06:46:45,28.44
6866,2025-06-03 01:01:12,2.59
6865,2025-06-02 13:59:40,0.29
6864,2025-06-02 11:33:55,174.4
